dataset,problem,file,lines,before,after
all_py,1763,145972.py,14,405,24
all_py,1763,146011.py,16,482,29
all_py,1763,145821.py,25,593,33
all_py,1763,146135.py,19,630,33
all_py,1763,146150.py,31,980,52
all_py,1847,704346.py,9,275,16
all_py,1847,697588.py,14,427,18
all_py,1847,714849.py,16,461,15
all_py,1847,707050.py,16,537,16
all_py,1847,714267.py,29,1000,51
all_py,1848,709150.py,13,471,19
all_py,1848,695171.py,42,946,53
all_py,1848,698106.py,34,1027,55
all_py,1873,714020.py,13,412,23
all_py,1874,714021.py,11,456,18
all_py,1874,767403.py,38,1116,53
all_py,1875,713568.py,23,767,34
all_py,1876,714024.py,16,576,25
all_py,1876,761666.py,34,608,43
all_py,1888,685899.py,33,1137,46
all_py,1888,686082.py,46,1568,61
all_py,1888,686494.py,39,1599,58
all_py,1888,681527.py,53,1673,66
all_py,1888,681865.py,44,1731,69
all_py,1894,771675.py,1,111,1
all_py,1894,687144.py,9,231,12
all_py,1894,770615.py,8,287,12
all_py,1894,770994.py,9,343,12
all_py,1894,770526.py,15,583,16
all_py,1902,712377.py,1,98,3
all_py,1902,712624.py,11,254,11
all_py,1902,712869.py,17,360,18
all_py,1902,773825.py,15,455,18
all_py,1902,740261.py,45,1328,63
all_py,1904,802367.py,3,125,5
all_py,1904,682473.py,7,179,8
all_py,1904,683494.py,10,214,9
all_py,1904,684234.py,21,284,14
all_py,1904,682386.py,17,489,26
all_py,1905,681935.py,4,148,9
all_py,1905,693907.py,9,163,9
all_py,1905,682722.py,14,214,12
all_py,1905,683190.py,10,248,17
all_py,1905,683436.py,26,405,24
all_py,1906,802324.py,2,97,3
all_py,1906,681925.py,5,176,8
all_py,1906,683229.py,9,265,14
all_py,1906,684906.py,8,306,15
all_py,1906,683473.py,18,355,17
all_py,1907,681592.py,6,221,9
all_py,1907,682066.py,9,242,9
all_py,1907,682175.py,9,275,16
all_py,1907,683531.py,17,312,11
all_py,1907,684038.py,25,704,40
all_py,1908,707378.py,7,226,11
all_py,1908,766794.py,11,319,14
all_py,1952,698088.py,6,295,9
all_py,1952,748908.py,15,336,23
all_py,1952,796958.py,11,400,15
all_py,1952,796961.py,9,417,15
all_py,1952,796965.py,10,436,15
all_py,1953,743178.py,4,186,7
all_py,1953,781005.py,18,624,19
all_py,1953,780635.py,25,836,31
all_py,1953,722054.py,29,979,48
all_py,1953,744305.py,30,1456,44
all_py,1954,743373.py,9,375,16
all_py,1954,743803.py,16,458,21
all_py,1954,744152.py,16,512,23
all_py,1954,742910.py,20,560,26
all_py,1954,744002.py,31,868,45
all_py,1955,743808.py,14,370,20
all_py,1955,743005.py,17,455,28
all_py,1955,743232.py,21,481,26
all_py,1955,743406.py,19,500,27
all_py,1955,743586.py,34,661,36
all_py,1956,720918.py,28,706,43
all_py,1970,713179.py,12,364,18
all_py,1971,712520.py,12,253,16
all_py,1972,739275.py,11,308,18
all_py,1972,741718.py,17,597,31
all_py,1972,739537.py,24,620,30
all_py,1972,739660.py,24,698,28
all_py,1972,739062.py,46,913,39
all_py,1980,743215.py,22,628,29
all_py,1980,712117.py,24,692,41
all_py,1980,798642.py,19,694,29
all_py,1980,774338.py,49,1525,71
all_py,1995,754984.py,13,409,12
all_py,1995,756389.py,21,531,21
all_py,1995,753235.py,28,617,25
all_py,1995,753199.py,34,675,30
all_py,1995,753352.py,47,1035,54
all_py,1996,756637.py,6,312,6
all_py,1996,755528.py,16,435,22
all_py,1996,755100.py,23,479,21
all_py,1996,754674.py,27,531,22
all_py,1996,754037.py,53,755,39
all_py,1997,702827.py,18,764,24
all_py,2001,714162.py,12,345,18
all_py,2001,701767.py,18,394,22
all_py,2001,703761.py,18,532,19
all_py,2002,703651.py,8,277,11
all_py,2002,704199.py,10,322,15
all_py,2002,702240.py,29,435,20
all_py,2002,703206.py,24,541,41
all_py,2002,766788.py,28,663,47
all_py,2013,701558.py,32,1392,58
all_py,2014,703452.py,8,247,15
all_py,2014,703730.py,10,279,19
all_py,2014,701805.py,11,356,21
all_py,2014,701256.py,13,387,24
all_py,2014,704769.py,19,589,24
all_py,2015,766779.py,22,579,33
all_py,2015,707258.py,31,630,56
all_py,2029,705463.py,37,1367,57
all_py,2030,798692.py,10,207,12
all_py,2030,711385.py,8,249,14
all_py,2037,713922.py,29,739,35
all_py,2062,697206.py,33,483,25
all_py,2062,713131.py,16,490,26
all_py,2062,714755.py,19,518,29
all_py,2092,781661.py,47,1429,64
all_py,2094,781660.py,50,1042,64
all_py,2112,747759.py,14,593,21
all_py,2112,748041.py,25,659,33
all_py,2112,747665.py,25,715,36
all_py,2112,748075.py,21,814,29
all_py,2112,748324.py,42,1089,44
all_py,2114,705283.py,9,272,17
all_py,2114,706199.py,11,328,19
all_py,2114,777503.py,12,352,21
all_py,2114,777836.py,18,396,28
all_py,2114,707401.py,27,677,44
all_py,2135,783502.py,24,613,41
all_py,2135,797123.py,26,623,43
all_py,2135,797127.py,28,685,47
all_py,2135,797126.py,33,742,51
all_py,2135,783428.py,35,890,55
all_py,2136,783460.py,25,756,42
all_py,2136,783408.py,27,757,42
all_py,2136,783547.py,41,1063,60
all_py,2136,783324.py,43,1151,64
all_py,2136,801258.py,46,1215,53
all_py,2143,702018.py,3,185,4
all_py,2143,701541.py,5,249,6
all_py,2143,701348.py,5,266,6
all_py,2143,701932.py,6,312,7
all_py,2143,695218.py,18,610,26
all_py,2146,739287.py,17,296,15
all_py,2146,738635.py,14,410,21
all_py,2146,740134.py,13,470,22
all_py,2146,741265.py,22,595,38
all_py,2146,722069.py,73,1143,69
all_py,2147,682639.py,30,728,42
all_py,2147,786893.py,21,783,34
all_py,2147,683801.py,31,863,49
all_py,2147,713584.py,41,1091,66
all_py,2148,722230.py,6,278,10
all_py,2148,775833.py,12,471,16
all_py,2148,722028.py,20,548,26
all_py,2148,775535.py,30,653,34
all_py,2148,775784.py,42,992,42
all_py,2149,779235.py,7,241,11
all_py,2149,721458.py,19,360,24
all_py,2149,721495.py,15,401,26
all_py,2149,779402.py,22,436,26
all_py,2149,767167.py,28,624,44
all_py,2150,711513.py,7,272,13
all_py,2150,711452.py,11,522,19
all_py,2150,711649.py,19,586,26
all_py,2150,711659.py,21,669,28
all_py,2150,712128.py,38,922,43
all_py,2175,697230.py,10,351,14
all_py,2175,713566.py,17,473,27
all_py,2176,707659.py,5,272,7
all_py,2176,781665.py,8,401,14
all_py,2177,774240.py,20,526,21
all_py,2177,724496.py,25,940,43
all_py,2178,704351.py,6,172,11
all_py,2178,773211.py,9,274,15
all_py,2178,772820.py,10,313,17
all_py,2178,705898.py,16,411,25
all_py,2178,773983.py,38,971,44
all_py,2207,767815.py,4,137,5
all_py,2207,768115.py,5,200,6
all_py,2207,767736.py,6,231,7
all_py,2207,768181.py,6,242,7
all_py,2207,768196.py,15,658,24
all_py,2208,696015.py,3,122,4
all_py,2209,798817.py,5,189,6
all_py,2209,696016.py,7,262,7
all_py,2210,768670.py,6,218,7
all_py,2210,768487.py,15,337,24
all_py,2210,730517.py,15,393,25
all_py,2210,774585.py,20,442,29
all_py,2210,768609.py,40,1413,66
all_py,2211,696022.py,14,237,23
all_py,2211,766781.py,10,267,18
all_py,2212,702441.py,10,419,17
all_py,2212,770719.py,10,536,27
all_py,2212,770860.py,19,622,37
all_py,2212,701371.py,29,715,57
all_py,2212,714099.py,39,990,82
all_py,2213,770067.py,13,448,22
all_py,2213,713129.py,16,550,24
all_py,2213,702276.py,16,623,29
