dataset,problem,file,lines,before,after
all_py,1396,773844.py,32,1036,27
all_py,1397,137462.py,16,691,24
all_py,1397,723605.py,14,672,20
all_py,1397,136512.py,18,824,23
all_py,1397,135832.py,22,1153,30
all_py,1397,136453.py,39,1653,51
all_py,1398,778954.py,29,3258,30
all_py,1401,708412.py,11,722,15
all_py,1401,708367.py,15,879,23
all_py,1401,704362.py,27,1030,27
all_py,1401,706012.py,32,1389,31
all_py,1401,709892.py,42,1756,46
all_py,1403,731169.py,23,965,30
all_py,1404,723833.py,27,1191,36
all_py,1405,720246.py,26,1349,33
all_py,1406,144321.py,10,739,15
all_py,1406,143766.py,14,829,20
all_py,1406,143345.py,16,946,23
all_py,1406,143593.py,20,962,29
all_py,1406,144399.py,28,1439,40
all_py,1407,143361.py,9,650,14
all_py,1407,144214.py,11,748,15
all_py,1407,143686.py,11,846,20
all_py,1407,143320.py,12,918,18
all_py,1407,792108.py,30,1007,28
all_py,1408,731206.py,26,1305,25
all_py,1408,731509.py,34,1800,22
all_py,1408,149150.py,27,1945,37
all_py,1408,148662.py,40,2205,59
all_py,1408,796416.py,69,3126,89
all_py,1411,796473.py,9,433,11
all_py,1411,768385.py,9,443,12
all_py,1411,710873.py,13,765,18
all_py,1411,139194.py,20,1013,29
all_py,1411,767285.py,91,2824,104
all_py,1412,723149.py,8,464,13
all_py,1414,797067.py,41,1714,49
all_py,1414,782817.py,40,1842,39
all_py,1415,714252.py,11,523,17
all_py,1415,742777.py,14,674,22
all_py,1415,797068.py,18,797,24
all_py,1444,136082.py,6,382,9
all_py,1444,137071.py,12,633,18
all_py,1444,137366.py,21,739,28
all_py,1444,136560.py,20,1002,28
all_py,1444,136293.py,34,1453,46
all_py,1445,768814.py,28,806,33
all_py,1445,798813.py,21,861,28
all_py,1448,721371.py,27,888,35
all_py,1448,768815.py,30,1150,39
all_py,1448,798809.py,35,1440,41
all_py,1449,745593.py,5,461,6
all_py,1449,720838.py,13,526,11
all_py,1449,148533.py,10,650,13
all_py,1449,148516.py,11,795,15
all_py,1449,711238.py,24,1080,20
all_py,1450,695215.py,4,384,4
all_py,1450,720840.py,11,473,10
all_py,1450,143598.py,9,602,11
all_py,1450,143595.py,9,647,11
all_py,1450,712404.py,20,920,25
all_py,1452,130380.py,19,1143,29
all_py,1452,798842.py,28,1122,34
all_py,1453,781586.py,25,2102,33
all_py,1454,714503.py,24,995,18
all_py,1454,714467.py,17,1493,19
all_py,1454,715845.py,39,1638,37
all_py,1454,717550.py,34,2004,38
all_py,1454,759908.py,65,2470,77
all_py,1457,779424.py,17,822,23
all_py,1457,779271.py,16,910,28
all_py,1457,779472.py,21,983,21
all_py,1457,779050.py,29,1091,35
all_py,1457,778964.py,33,1318,41
all_py,1461,711515.py,9,582,14
all_py,1461,137092.py,17,755,23
all_py,1461,711434.py,16,856,24
all_py,1461,135801.py,24,890,35
all_py,1461,136986.py,31,1352,44
all_py,1467,701482.py,16,875,21
all_py,1467,131814.py,17,1190,23
all_py,1468,776884.py,11,994,18
all_py,1468,130391.py,25,1216,41
all_py,1468,720657.py,36,1473,42
all_py,1468,720155.py,28,1723,40
all_py,1468,716092.py,63,3110,80
all_py,1525,781734.py,13,955,9
all_py,1525,782387.py,25,1376,37
all_py,1525,752108.py,31,1532,31
all_py,1525,744104.py,57,1953,61
all_py,1525,782502.py,58,3144,82
all_py,1526,130225.py,6,429,10
all_py,1526,785986.py,12,574,15
all_py,1526,798872.py,13,668,14
all_py,1526,721018.py,17,796,22
all_py,1536,798899.py,25,1046,31
all_py,1536,723145.py,31,1210,45
all_py,1549,130207.py,15,686,21
all_py,1549,743575.py,19,898,21
all_py,1549,743737.py,19,1016,27
all_py,1549,744105.py,18,1128,22
all_py,1549,743618.py,9,2029,11
all_py,1550,799502.py,32,1871,48
all_py,1550,799336.py,33,2001,44
all_py,1550,799354.py,43,2067,53
all_py,1550,712073.py,39,2395,59
all_py,1550,799791.py,42,2371,59
all_py,1551,713425.py,29,1339,40
all_py,1551,130208.py,25,1291,42
all_py,1553,698179.py,23,1638,29
all_py,1560,714016.py,10,705,16
all_py,1567,728658.py,17,911,26
all_py,1567,724799.py,23,973,28
all_py,1568,720656.py,35,1491,42
all_py,1568,718934.py,37,1634,42
all_py,1568,716604.py,39,1691,41
all_py,1568,720548.py,43,1909,51
all_py,1568,719210.py,47,2004,50
all_py,1574,748691.py,27,977,33
all_py,1574,128616.py,35,1301,39
all_py,1575,698182.py,24,928,31
all_py,1581,720363.py,15,586,23
all_py,1588,144280.py,9,534,14
all_py,1588,706727.py,8,634,12
all_py,1588,143787.py,9,649,14
all_py,1588,143673.py,11,799,20
all_py,1588,143958.py,27,1176,33
all_py,1598,139220.py,15,874,24
all_py,1598,706654.py,23,1541,31
all_py,1598,703072.py,41,1721,61
all_py,1598,709080.py,43,2019,49
all_py,1598,709479.py,68,3168,84
all_py,1608,766780.py,31,1107,40
all_py,1608,712077.py,39,1234,46
all_py,1636,782352.py,40,2255,49
all_py,1699,133126.py,27,1225,33
all_py,1699,778391.py,34,1485,46
all_py,1699,778608.py,27,1533,38
all_py,1699,777524.py,33,1822,55
all_py,1699,778560.py,64,2761,74
all_py,1700,698232.py,10,442,13
all_py,1701,698233.py,23,1131,30
all_py,1702,714003.py,58,2796,74
all_py,1713,150007.py,6,287,10
all_py,1713,135474.py,8,355,13
all_py,1713,790570.py,10,387,14
all_py,1713,134597.py,11,419,14
all_py,1713,762223.py,23,731,21
all_py,1714,688692.py,25,1215,35
all_py,1714,128601.py,28,1240,36
all_py,1715,729113.py,18,662,20
all_py,1715,733207.py,27,915,21
all_py,1715,733041.py,21,1010,22
all_py,1715,728402.py,33,1048,25
all_py,1715,733459.py,54,1445,42
all_py,1723,131302.py,5,456,8
all_py,1723,131626.py,13,669,17
all_py,1723,131525.py,15,747,21
all_py,1723,131684.py,17,822,22
all_py,1723,131587.py,21,1122,29
all_py,1724,131831.py,7,373,10
all_py,1724,771814.py,11,387,11
all_py,1724,136281.py,8,453,11
all_py,1724,131741.py,10,518,16
all_py,1724,710997.py,18,673,25
all_py,1725,131304.py,9,367,14
all_py,1725,131632.py,9,499,15
all_py,1725,131675.py,13,546,17
all_py,1725,131530.py,13,646,21
all_py,1725,131526.py,19,795,27
all_py,1726,775405.py,9,518,15
all_py,1726,131529.py,11,655,15
all_py,1726,723585.py,17,735,25
all_py,1726,775866.py,20,781,29
all_py,1726,131666.py,27,1044,35
all_py,1739,136963.py,9,650,15
all_py,1739,696341.py,29,975,32
all_py,1739,798820.py,23,1013,34
all_py,1739,694719.py,32,1301,43
all_py,1739,792117.py,56,1672,51
all_py,1746,696432.py,39,1847,40
all_py,1746,725199.py,33,2150,51
all_py,1746,721271.py,55,2230,66
all_py,1747,713426.py,33,1466,48
all_py,1763,698246.py,12,674,21
all_py,1763,146011.py,16,780,25
all_py,1763,145821.py,25,944,32
all_py,1763,145939.py,21,1035,30
all_py,1763,146150.py,31,1628,47
all_py,1847,704346.py,9,457,13
all_py,1847,714299.py,12,883,15
all_py,1847,714849.py,16,940,15
all_py,1847,707050.py,16,1092,16
all_py,1847,714267.py,29,1866,41
all_py,1848,709150.py,13,774,18
all_py,1848,695171.py,42,1515,49
all_py,1848,698106.py,34,1687,48
all_py,1848,787430.py,56,2334,52
all_py,1848,697145.py,18,3123,24
all_py,1873,714020.py,13,699,21
all_py,1874,714021.py,11,782,17
all_py,1874,767403.py,38,1914,46
all_py,1875,713568.py,23,1227,31
all_py,1876,714024.py,16,990,23
all_py,1876,761666.py,34,1010,37
all_py,1888,685899.py,33,2105,37
all_py,1888,686082.py,46,2854,51
all_py,1888,686494.py,39,2879,54
all_py,1888,681527.py,53,3016,59
all_py,1888,681865.py,44,3106,62
all_py,1894,771675.py,1,215,1
all_py,1894,687144.py,9,409,9
all_py,1894,770615.py,8,466,9
all_py,1894,770994.py,9,562,9
all_py,1894,770526.py,15,1018,13
all_py,1902,712377.py,1,171,3
all_py,1902,712624.py,11,402,11
all_py,1902,712869.py,17,570,17
all_py,1902,773825.py,15,742,18
all_py,1902,740261.py,45,2178,54
all_py,1904,802367.py,3,390,5
all_py,1904,682473.py,7,598,8
all_py,1904,683494.py,10,340,9
all_py,1904,684234.py,21,459,14
all_py,1904,682386.py,17,812,24
all_py,1905,681935.py,4,246,9
all_py,1905,693907.py,9,270,9
all_py,1905,682722.py,14,349,12
all_py,1905,683224.py,9,416,14
all_py,1905,683436.py,26,691,23
all_py,1906,802324.py,2,173,3
all_py,1906,681925.py,5,283,8
all_py,1906,683229.py,9,440,14
all_py,1906,684906.py,8,531,12
all_py,1906,683473.py,18,597,17
all_py,1907,681592.py,6,347,9
all_py,1907,682066.py,9,371,9
all_py,1907,682175.py,9,451,13
all_py,1907,683531.py,17,478,11
all_py,1907,684038.py,25,1128,36
all_py,1908,707378.py,7,357,11
all_py,1908,766794.py,11,513,14
all_py,1952,698088.py,6,500,9
all_py,1952,748908.py,15,537,20
all_py,1952,796958.py,11,681,15
all_py,1952,796961.py,9,708,15
all_py,1952,796965.py,10,747,15
all_py,1953,743178.py,4,408,7
all_py,1953,781005.py,18,1048,19
all_py,1953,781010.py,20,1423,25
all_py,1953,722054.py,29,1591,45
all_py,1953,744305.py,30,2539,40
all_py,1954,743373.py,9,633,15
all_py,1954,743803.py,16,758,20
all_py,1954,744152.py,16,847,22
all_py,1954,742910.py,20,939,25
all_py,1954,744002.py,31,1444,42
all_py,1955,743808.py,14,634,19
all_py,1955,743005.py,17,770,24
all_py,1955,743232.py,21,807,25
all_py,1955,743406.py,19,824,26
all_py,1955,743586.py,34,1091,35
all_py,1956,720918.py,28,1343,40
all_py,1970,713179.py,12,602,17
all_py,1971,712520.py,12,490,14
all_py,1972,739275.py,11,513,16
all_py,1972,741718.py,17,949,24
all_py,1972,739537.py,24,1048,27
all_py,1972,739660.py,24,1174,27
all_py,1972,739062.py,46,1497,37
all_py,1980,743215.py,22,1087,25
all_py,1980,712117.py,24,1194,35
all_py,1980,798642.py,19,1208,26
all_py,1980,774338.py,49,2759,58
all_py,1995,754984.py,13,670,12
all_py,1995,756389.py,21,897,20
all_py,1995,753235.py,28,1049,24
all_py,1995,753199.py,34,1147,27
all_py,1995,753352.py,47,1705,49
all_py,1996,756637.py,6,534,6
all_py,1996,755528.py,16,763,18
all_py,1996,755100.py,23,778,18
all_py,1996,754674.py,27,902,19
all_py,1996,754037.py,53,1304,36
all_py,1997,702827.py,18,1604,23
all_py,2001,714162.py,12,557,16
all_py,2001,701767.py,18,649,20
all_py,2001,703761.py,18,852,19
all_py,2002,703651.py,8,437,11
all_py,2002,704199.py,10,511,15
all_py,2002,702240.py,29,688,20
all_py,2002,703206.py,24,931,34
all_py,2002,766788.py,28,1107,41
all_py,2013,701558.py,32,2438,42
